countryname,city,hotelname,address,phone,rating,hoteltype,latitude,longitude
Austria,Vienna,Hotel Sacher Wien,Philharmoniker Str 4 1010 Vienna Austria,+431514560,5,luxury,48.203876,16.369789
Austria,Vienna,Grand Hotel Wien,Karntner Ring 9 1010 Vienna Austria,+431515800,5,luxury,48.20209,16.371946
Austria,Vienna,Hotel Bristol Vienna,Karntner Ring 1 1010 Vienna Austria,+431515160,5,luxury,48.202703,16.370183
Austria,Vienna,Palais Hansen Kempinski,Schottenring 24 1010 Vienna Austria,+431236100,5,luxury,48.216345,16.368435
Austria,Vienna,The Ritz-Carlton Vienna,Schubertring 5-7 1010 Vienna Austria,+431311880,5,luxury,48.202778,16.375988
Austria,Vienna,Hotel Kaiserin Elisabeth,Weihburggasse 3 1010 Vienna Austria,+431515260,4,luxury,48.207102,16.372518
Austria,Vienna,Austria Trend Hotel Savoyen,Rennweg 16 1030 Vienna Austria,+431206330,4,luxury,48.19458,16.384642
Austria,Vienna,Hotel Erzherzog Rainer,Wiedner Hauptstrasse 27 1040 Vienna Austria,+431221220,4,luxury,48.195217,16.367459
Austria,Vienna,Hotel Schani Wien,Marxergasse 17 1030 Vienna Austria,+431796040,3,economy,48.206687,16.391291
Austria,Vienna,Motel One Wien-Staatsoper,Elisabethstrasse 5 1010 Vienna Austria,+431585050,3,economy,48.201593,16.367984
Austria,Salzburg,Hotel Goldener Hirsch,Getreidegasse 37 5020 Salzburg Austria,+4366280840,5,luxury,47.799887,13.040952
Austria,Salzburg,Schloss Monchstein,Monchsberg Park 26 5020 Salzburg Austria,+4366280840,5,luxury,47.8095,13.055
Austria,Salzburg,Hotel Sacher Salzburg,Schwarzstrasse 5-7 5020 Salzburg Austria,+4366280840,5,luxury,47.8022,13.043293
Austria,Salzburg,Hotel Bristol Salzburg,Makartplatz 4 5020 Salzburg Austria,+4366280840,4,luxury,47.803227,13.043801
Austria,Salzburg,Crowne Plaza Salzburg,Rainerstrasse 6 5020 Salzburg Austria,+4366289978,4,luxury,47.807759,13.041706
Austria,Salzburg,Hotel Stein,Giselakai 3-5 5020 Salzburg Austria,+4366287434,4,luxury,47.798111,13.055535
Austria,Salzburg,Altstadthotel Weisse Taube,Kaigasse 9 5020 Salzburg Austria,+4366284240,3,economy,47.798094,13.048602
Austria,Salzburg,Hotel Hohenstauffen,Elisabethstrasse 19 5020 Salzburg Austria,+4366287200,3,economy,47.812884,13.04178
Austria,Salzburg,Arte Hotel Salzburg,Rainerstrasse 27 5020 Salzburg Austria,+4366288276,3,economy,47.811449,13.043457
Austria,Salzburg,Hotel Schwarzes Rossl,Priesterhausgasse 6 5020 Salzburg Austria,+4366287442,3,economy,47.802706,13.045615
Austria,Innsbruck,Grand Hotel Europa,Sudtiroler Platz 2 6020 Innsbruck Austria,+4351259310,5,luxury,47.264565,11.399867
Austria,Innsbruck,Hotel Innsbruck,Innrain 3 6020 Innsbruck Austria,+4351259868,4,luxury,47.267866,11.391422
Austria,Innsbruck,Romantik Hotel Schwarzer Adler,Kaiserjagerstrasse 2 6020 Innsbruck Austria,+4351258710,4,luxury,47.269221,11.399755
Austria,Innsbruck,Hotel Maximilian,Marktgraben 7-9 6020 Innsbruck Austria,+4351259967,4,luxury,47.267291,11.391866
Austria,Innsbruck,DoubleTree by Hilton Innsbruck,Salurner Strasse 15 6020 Innsbruck Austria,+4351256300,4,luxury,47.262217,11.395798
Austria,Innsbruck,Hotel Weisses Kreuz,Herzog-Friedrich-Strasse 31 6020 Innsbruck Austria,+4351259479,3,economy,47.267655,11.393534
Austria,Innsbruck,Pension Stoi,Salurner Strasse 7 6020 Innsbruck Austria,+4351258543,3,economy,47.262528,11.39766
Austria,Innsbruck,Hotel Goldener Adler,Herzog-Friedrich-Strasse 6 6020 Innsbruck Austria,+4351257111,3,economy,47.268286,11.392476
Austria,Innsbruck,ibis Innsbruck,Sterzinger Strasse 1 6020 Innsbruck Austria,+4351269900,3,economy,47.262377,11.399739
Austria,Innsbruck,Hotel Central,Gilmstrasse 5 6020 Innsbruck Austria,+4351259230,3,economy,47.265945,11.396562
Belgium,Brussels,Hotel Amigo Brussels,Rue de l Amigo 1 1000 Brussels Belgium,+3225474747,5,luxury,50.846371,4.351186
Belgium,Brussels,The Hotel Brussels,Boulevard de Waterloo 38 1000 Brussels Belgium,+3225043111,5,luxury,50.837247,4.357612
